uniprot_A,uniprot_B,Entry_name_A,Entry_name_B,Gene_A,Gene_B,org_A,org_B,interaction_type,V1,V2
O56264,Q93079,ns1_i97a1,h2b1h_human,NS,H2BC9,i97a1,human,association;,1,0
P69901,P48167,P69901,glrb_human,P69901,GLRB,hpv11,human,association;,1,0
O00584,P29991,rnt2_human,P29991,RNASET2,P29991,human,den27,physical association;,1,0
Q2MG95,Q14393,q2mg95_ebvb9,gas6_human,BVLF1,GAS6,ebvb9,human,association;,1,0
O39474,Q14318,o39474_9hepc,fkbp8_human,NS5A,FKBP8,9hepc,human,physical association;direct interaction;colocalization;,16,0
P0DTC8,P46379,P0DTC8,bag6_human,P0DTC8,BAG6,SARS-CoV-2,human,association;,1,0
P03225,P16615,bdlf2_ebvb9,at2a2_human,bdlf2_ebvb9,ATP2A2,ebvb9,human,association;,1,0
P04618,Q7Z7H5,rev_hv1h2,tmed4_human,rev,TMED4,hv1h2,human,association;,2,1
P36780,Q14790,ve2_hpv09,casp8_human,E2,CASP8,Human papillomavirus type 9,human,physical association;,1,0
O95786,F1BA48,ddx58_human,f1ba48_sftsv,DDX58,NP,human,sfts virus hb29,physical association;,1,0
A0A142I5B9,Q9Y3B7,A0A142I5B9,rm11_human,A0A142I5B9,MRPL11,ZIKVK,human,association;,1,0
P0DTC8,Q9UNM6,P0DTC8,psd13_human,P0DTC8,PSMD13,SARS-CoV-2,human,association;,1,0
P0DTC6,Q96CS3,ns6_sars2,faf2_human,Protein X3,FAF2,SARS-CoV-2,human,association;,1,0
P03496,P14174,ns1_i34a1,mif_human,NS,MIF,i34a1,human,association;,2,0
Q0A2H0,Q15942,ns1_i59a0,zyx_human,NS,ZYX,strain a/chicken/scotland/1959 h5n1,human,physical association;,1,1
P08670,Q9WMX2,vime_human,Q9WMX2,VIM,Q9WMX2,human,hcvco,colocalization;,2,0
P0CK49,P60468,teg7_ebvb9,sc61b_human,teg7_ebvb9,SEC61B,ebvb9,human,association;,1,0
P06460,O96005,P06460,clpt1_human,P06460,CLPTM1,hpv6b,human,association;,1,0
Q9WMX2,Q9ULU8,Q9WMX2,caps1_human,Q9WMX2,CADPS,hcvco,human,physical association;,1,0
Q1K9H2,P52815,q1k9h2_i33a0,rm12_human,NP,MRPL12,i33a0,human,association;,4,0
P0DTD1,Q9BV73,p0dtd1-pro_0000449630,cp250_human,rep,CEP250,SARS-CoV-2,human,association;,1,0
P03225,Q9NZM1,bdlf2_ebvb9,myof_human,bdlf2_ebvb9,MYOF,ebvb9,human,association;,1,0
P14079,P17482,tax_htl1c,hxb9_human,tax,HOXB9,htl1c,human,physical association;,2,0
P03116,O75925,ve1_bpv1,pias1_human,E1,PIAS1,bpv1,human,physical association;,1,2
P0CK56,Q96IR5,ul92_ebvb9,q96ir5_human,ul92_ebvb9,PIGS,ebvb9,human,physical association;,1,0
Q2PRM9,Q15329,Q2PRM9,e2f5_human,Q2PRM9,E2F5,povbk,human,association;,1,0
Q9WMX2,P62805,Q9WMX2,h4_human,Q9WMX2,H4C9,hcvco,human,association;,1,0
P0C1C6,O00505,w_hendh,ima4_human,P/V/C,KPNA3,hendh,human,association;,1,0
P0C1C6,Q13185,w_hendh,cbx3_human,P/V/C,CBX3,hendh,human,association;,1,0
P0CK56,P12004,ul92_ebvb9,pcna_human,ul92_ebvb9,PCNA,ebvb9,human,association;,1,0
I6TAH8,Q09161,i6tah8_i68a0,ncbp1_human,NP,NCBP1,i68a0,human,association;,4,0
H9XIJ5,Q9H3M7,h9xij5_i75a3,txnip_human,PB2,TXNIP,i75a3,human,physical association;,1,1
P03428,Q8NI60,pb2_i34a1,coq8a_human,PB2,COQ8A,i34a1,human,association;,2,0
B4URF7,Q9UH99,b4urf7_i33a0,sun2_human,PB2,SUN2,i33a0,human,association;,1,0
P69901,Q9UKV5,P69901,amfr_human,P69901,AMFR,hpv11,human,association;,1,0
P09613,P43487,gp_uuks,rang_human,GP,RANBP1,Uuk,human,association;,1,0
P03118,O14735,ve2_hpv1,cdipt_human,E2,CDIPT,hpv1a,human,physical association;,1,0
P04487,P46781,rnb_hhv11,rs9_human,US11,RPS9,hhv11,human,association;,1,0
P04017,Q9UMX0,P04017,ubql1_human,P04017,UBQLN1,hpv11,human,physical association;,1,0
P0CK49,O95297,teg7_ebvb9,mpzl1_human,teg7_ebvb9,MPZL1,ebvb9,human,association;,1,0
P06428,P55040,ve6_hpv08,gem_human,E6,GEM,hpv08,human,physical association;,1,0
Q6DP94,Q9Y692,q6dp94_9infa,gmeb1_human,NS,GMEB1,h5n1)-2,human,physical association;,1,0
O92597,Q9ULM3,o92597_hhv8,yets2_human,k8,YEATS2,hhv8,human,association;,1,1
D1LN35,P38159,d1ln35_9infa,rbmx_human,NS1,RBMX,h5n1-china,human,association;,1,0
Q8AZK7,P06493,ebna5_ebvb9,cdk1_human,EBNA-LP,CDK1,ebvb9,human,association;,1,0
Q77M19,Q07020,q77m19_measw,rl18_human,P,RPL18,measw,human,association;,2,0
P69901,Q9NZM1,P69901,myof_human,P69901,MYOF,hpv11,human,association;,1,0
P12792,Q14653,nss_sfsv,irf3_human,NSS,IRF3,sfsv,human,association;,1,0
A0A142I5B9,O14967,A0A142I5B9,clgn_human,A0A142I5B9,CLGN,ZIKVK,human,association;,2,0
C5E527,Q86YA3,c5e527_9infa,zgrf1_human,PB2,ZGRF1,A/New York/1682/2009(H1N1),human,association;,1,0
Q1HVL3,P15144,q1hvl3_cvh22,ampn_human,S,ANPEP,hcov-229e,human,direct interaction;,1,0
P06428,P49643,ve6_hpv08,pri2_human,E6,PRIM2,hpv08,human,physical association;,1,1
P06463,Q9UBQ0,ve6_hpv18,vps29_human,E6,VPS29,hpv18,human,association;,1,1
P06460,Q13637,P06460,rab32_human,P06460,RAB32,hpv6b,human,association;,1,1
I6TAH8,P82914,i6tah8_i68a0,rt15_human,NP,MRPS15,i68a0,human,association;,1,0
D0UZP9,Q96FX7,d0uzp9_hhv8,trm61_human,ORF37,TRMT61A,hhv8,human,association;,1,0
Q77M19,Q16891,q77m19_measw,mic60_human,P,IMMT,measw,human,association;,2,0
P27958,Q9Y3E1,P27958,hdgr3_human,P27958,HDGFL3,hcvh,human,association;,1,0
P06932,Q49A26,ve7_hpv05,glyr1_human,E7,GLYR1,hpv05,human,physical association;,1,0
P06792,Q9NXW2,ve5_hpv18,djb12_human,E5,DNAJB12,hpv18,human,association;,1,0
P03428,Q9Y4W6,pb2_i34a1,afg32_human,PB2,AFG3L2,i34a1,human,association;,2,0
P06464,P10276,ve7_hpv6b,rara_human,E7,RARA,hpv6b,human,physical association;,1,1
Q0HD54,P62424,ns1_i40a0,rl7a_human,NS,RPL7A,i40a0,human,association;,1,0
I6T1Z2,P07237,i6t1z2_i68a0,pdia1_human,NS1,P4HB,i68a0,human,association;,4,0
Q99IB8,P55157,Q99IB8,mtp_human,Q99IB8,MTTP,hcvjf,human,association;,1,1
P0DTD1,P13861,p0dtd1-pro_0000449630,kap2_human,rep,PRKAR2A,SARS-CoV-2,human,association;,1,0
H2A1D8,P12036,h2a1d8_muhv1,nfh_human,M84,NEFH,muhv1,human,association;,1,0
Q9WMX2,P43487,Q9WMX2,rang_human,Q9WMX2,RANBP1,hcvco,human,association;,1,1
P03211,P67870,ebna1_ebvb9,csk2b_human,EBNA1,CSNK2B,ebvb9,human,association;,1,0
O40945,P58546,o40945_hhv8,mtpn_human,ORF69,MTPN,hhv8,human,association;,1,0
P27958,Q8IXS8,P27958,f126b_human,P27958,FAM126B,hcvh,human,association;,2,0
P03225,Q5H9R7,bdlf2_ebvb9,pp6r3_human,bdlf2_ebvb9,PPP6R3,ebvb9,human,association;,1,0
F5HFG5,O14787,f5hfg5_hhv8,tnpo2_human,ORF4,TNPO2,hhv8,human,association;,1,0
C5E519,O14579,c5e519_9infa,cope_human,M2,COPE,A/New York/1682/2009(H1N1),human,association;,1,0
P06461,Q96AG4,P06461,lrc59_human,P06461,LRRC59,hpv6b,human,association;,1,1
P36778,P13667,ve2_hpv03,pdia4_human,E2,PDIA4,hpv03,human,physical association;,1,1
Q9UBX5,Q9WMX2,fbln5_human,Q9WMX2,FBLN5,Q9WMX2,human,hcvco,physical association;,1,6
Q15154,Q99IB8,pcm1_human,Q99IB8,PCM1,Q99IB8,human,hcvjf,physical association;,1,0
H9XIJ5,O15287,h9xij5_i75a3,fancg_human,PB2,FANCG,i75a3,human,physical association;,1,0
Q9Q2G4,Q9H1A4,q9q2g4_9hiv1,apc1_human,ORF,ANAPC1,9hiv1,human,association;,2,0
P06932,Q9Y6N5,ve7_hpv05,sqor_human,E7,SQOR,hpv05,human,association;,1,1
P68466,Q99878,k7_vaccw,h2a1j_human,k7_vaccw,H2AC14,vaccw,human,association;,1,0
Q9WPI5,P12236,q9wpi5_9infa,adt3_human,NS1,SLC25A6,influenza a virus (a/texas/36/1991(h1n1)),human,association;,1,0
P06463,Q13425,ve6_hpv18,sntb2_human,E6,SNTB2,hpv18,human,association;,1,3
P24830,Q15223,ve2_hpv39,nect1_human,E2,NECTIN1,Human papillomavirus type 39,human,physical association;,1,1
P51805,P16749,plxa3_human,icp27_hcmva,PLXNA3,icp27_hcmva,human,hcmva,direct interaction;,1,0
P06460,Q96B96,P06460,ldaf1_human,P06460,TMEM159,hpv6b,human,association;,1,1
P03118,P80188,ve2_hpv1,ngal_human,E2,LCN2,hpv1a,human,physical association;,1,0
Q98140,O94762,q98140_hhv8,recq5_human,ORF24,RECQL5,hhv8,human,association;,1,0
P0C739,O95817,bnl2a_ebvb9,bag3_human,bnl2a_ebvb9,BAG3,ebvb9,human,association;,1,0
P03165,P16220,x_hbvd3,creb1_human,X,CREB1,hbvd3,human,physical association;,1,0
O56264,Q13151,ns1_i97a1,roa0_human,NS,HNRNPA0,i97a1,human,association;,1,0
P0DTD1,P06753,p0dtd1-pro_0000449629,tpm3_human,rep,TPM3,SARS-CoV-2,human,association;,1,0
P69616,P02760,orf3_hevbu,ambp_human,orf3_hevbu,AMBP,hevbu,human,physical association;direct interaction;,4,0
P36778,Q14790,ve2_hpv03,casp8_human,E2,CASP8,hpv03,human,physical association;,1,0
I6T1Z2,P10644,i6t1z2_i68a0,kap0_human,NS1,PRKAR1A,i68a0,human,association;,3,0
P0DTD3,Q14739,y14_sars2,lbr_human,y14_sars2,LBR,SARS-CoV-2,human,association;,1,0
P04578,P14854,p04578-pro_0000038428,cx6b1_human,env,COX6B1,hv1h2,human,association;,2,0
Q2MG95,Q7L5D6,q2mg95_ebvb9,get4_human,BVLF1,GET4,ebvb9,human,association;,1,0
Q77M19,P17987,q77m19_measw,tcpa_human,P,TCP1,measw,human,association;,1,0
Q9NY15,P0C6X7,stab1_human,p0c6x7-pro_0000037322,STAB1,rep,human,sars-cov,physical association;,1,0
P68466,Q6FI13,k7_vaccw,h2a2a_human,k7_vaccw,H2AC19,vaccw,human,association;,1,0
P32456,Q9WMX2,gbp2_human,Q9WMX2,GBP2,Q9WMX2,human,hcvco,physical association;,2,2
Q9HD26,P06463,gopc_human,ve6_hpv18,GOPC,E6,human,hpv18,physical association;,1,0
P51116,P03431,fxr2_human,rdrp_i34a1,FXR2,PB1,human,i34a1,physical association;,1,2
Q9WRJ7,Q9BY44,q9wrj7_hhv8,eif2a_human,KIE-1,EIF2A,hhv8,human,association;,1,0
P04618,Q9BVK6,rev_hv1h2,tmed9_human,rev,TMED9,hv1h2,human,association;,2,1
B4URF7,Q6P4A7,b4urf7_i33a0,sfxn4_human,PB2,SFXN4,i33a0,human,association;,1,0
B4URF7,Q9NNW5,b4urf7_i33a0,wdr6_human,PB2,WDR6,i33a0,human,association;,2,0
P03431,O95071,rdrp_i34a1,ubr5_human,PB1,UBR5,i34a1,human,association;,4,0
C5E519,O00264,c5e519_9infa,pgrc1_human,M2,PGRMC1,A/New York/1682/2009(H1N1),human,association;,1,0
Q997F2,P52630,v_nipav,stat2_human,P/V/C,STAT2,nipav,human,association;,1,2
Q9WMX2,O00264,Q9WMX2,pgrc1_human,Q9WMX2,PGRMC1,hcvco,human,association;,1,1
P0C1C6,P61981,w_hendh,1433g_human,P/V/C,YWHAG,hendh,human,association;,1,0
P0DTC8,Q9NYU1,P0DTC8,uggg2_human,P0DTC8,UGGT2,SARS-CoV-2,human,association;,1,0
P03496,Q9NZI8,ns1_i34a1,if2b1_human,NS,IGF2BP1,i34a1,human,association;,2,0
O92597,O15211,o92597_hhv8,rgl2_human,k8,RGL2,hhv8,human,association;,1,1
P03433,O75489,pa_i34a1,ndus3_human,PA,NDUFS3,i34a1,human,physical association;,1,1
Q9UBX5,Q3KSN9,fbln5_human,dnbi_ebvg,FBLN5,DBP,human,ebvg,physical association;,1,0
P06927,Q9HC07,ve5_hpv16,tm165_human,E5,TMEM165,hpv16,human,association;,1,1
Q9BXL7,P88980,car11_human,p88980_mhv68,CARD11,BCRF1,human,mhv68,physical association;,1,1
P03070,Q8TD10,P03070,mipo1_human,P03070,MIPOL1,sv40,human,physical association;,1,1
P08865,P0C6X7,rssa_human,p0c6x7-pro_0000037322,RPSA,rep,human,sars-cov,physical association;,1,0
P06460,O94905,P06460,erln2_human,P06460,ERLIN2,hpv6b,human,association;,1,0
Q99IB8,Q15717,Q99IB8,elav1_human,Q99IB8,ELAVL1,hcvjf,human,physical association;association;,2,0
D0UZU1,P51608,d0uzu1_hhv8,mecp2_human,ORF73,MECP2,hhv8,human,association;,1,0
P14079,Q9P0T4,tax_htl1c,zn581_human,tax,ZNF581,htl1c,human,physical association;,2,2
P36780,Q96T23,ve2_hpv09,rsf1_human,E2,RSF1,Human papillomavirus type 9,human,physical association;,2,1
Q1K9H5,Q9H845,q1k9h5_i33a0,acad9_human,PB1,ACAD9,i33a0,human,association;,1,0
Q1K9H5,P28288,q1k9h5_i33a0,abcd3_human,PB1,ABCD3,i33a0,human,association;,1,0
P0DTD1,P61019,p0dtd1-pro_0000449625,rab2a_human,rep,RAB2A,SARS-CoV-2,human,association;,1,0
P06423,O00308,ve2_hpv33,wwp2_human,E2,WWP2,hpv33,human,physical association;,1,1
P03427,O95816,pb2_i33a0,bag2_human,PB2,BAG2,i33a0,human,association;,1,0
P59635,Q92843,ns7a_cvhsa,b2cl2_human,Protein X4,BCL2L2,sars-cov,human,physical association;,1,0
P0C739,Q9HCU5,bnl2a_ebvb9,preb_human,bnl2a_ebvb9,PREB,ebvb9,human,association;,1,0
Q9WMX2,Q9BVC6,Q9WMX2,tm109_human,Q9WMX2,TMEM109,hcvco,human,association;,1,1
Q2MG95,O60333,q2mg95_ebvb9,kif1b_human,BVLF1,KIF1B,ebvb9,human,association;,1,0
P04487,P05166,rnb_hhv11,pccb_human,US11,PCCB,hhv11,human,association;,1,0
Q997F2,P55795,v_nipav,hnrh2_human,P/V/C,HNRNPH2,nipav,human,association;,1,0
P0DTD1,Q9HD40,p0dtd1-pro_0000449626,spcs_human,rep,SEPSECS,SARS-CoV-2,human,association;,1,0
P04015,Q8N1B4,ve2_hpv11,vps52_human,E2,VPS52,hpv11,human,physical association;,1,1
P03209,Q9UQ35,rta_ebvb9,srrm2_human,rta_ebvb9,SRRM2,ebvb9,human,association;,1,0
Q194T2,O60812,q194t2_9infa,hnrc1_human,NS1,HNRNPCL1,influenza a virus (a/wsn/1933(h1n1)),human,association;,1,0
P06792,Q03135,ve5_hpv18,cav1_human,E5,CAV1,hpv18,human,association;,1,0
Q8JPQ9,Q06830,nss_bunl8,prdx1_human,N,PRDX1,bunl8,human,association;,1,0
Q2MG95,Q9C0C2,q2mg95_ebvb9,tb182_human,BVLF1,TNKS1BP1,ebvb9,human,association;,1,0
Q08379,P03495,goga2_human,ns1_i72a2,GOLGA2,NS,human,i72a2,physical association;,1,0
Q8AZJ3,Q86T03,bnl2b_ebvb9,pp4p1_human,bnl2b_ebvb9,PIP4P1,ebvb9,human,association;,1,0
Q8TCT4,P04013,q8tct4_human,vl2_hpv11,PMSP,L2,human,hpv11,physical association;,1,0
C5E522,O15226,c5e522_9infa,nkrf_human,NP,NKRF,A/New York/1682/2009(H1N1),human,association;,3,0
A0A142I5B9,Q9Y6G3,A0A142I5B9,rm42_human,A0A142I5B9,MRPL42,ZIKVK,human,association;,1,0
P03519,P52948,matrx_vsiva,nup98_human,M,NUP98,vsiv,human,association;,1,0
Q0HD54,Q12905,ns1_i40a0,ilf2_human,NS,ILF2,i40a0,human,association;,1,0
B4URF7,P61962,b4urf7_i33a0,dcaf7_human,PB2,DCAF7,i33a0,human,association;,2,0
O15372,Q9Q2G4,eif3h_human,q9q2g4_9hiv1,EIF3H,ORF,human,9hiv1,physical association;,1,0
P06927,P27105,ve5_hpv16,stom_human,E5,STOM,hpv16,human,association;,1,1
P0DOE9,Q9NVI7,ns1_hrsva,atd3a_human,1C,ATAD3A,hrsva,human,association;,1,0
Q9NTK5,P03433,ola1_human,pa_i34a1,OLA1,PA,human,i34a1,physical association;,1,0
I6T1Z2,P27986,i6t1z2_i68a0,p85a_human,NS1,PIK3R1,i68a0,human,association;,1,0
P69901,P50416,P69901,cpt1a_human,P69901,CPT1A,hpv11,human,association;,1,0
P03129,Q9BWG6,ve7_hpv16,scnm1_human,E7,SCNM1,hpv16,human,physical association;,1,2
P03466,Q16540,ncap_i34a1,rm23_human,NP,MRPL23,i34a1,human,association;,3,0
Q6DP94,Q5W0U4,q6dp94_9infa,bspry_human,NS,BSPRY,h5n1)-2,human,physical association;,1,0
Q6QDQ4,Q07955,q6qdq4_prrsv,srsf1_human,N,SRSF1,prrsv,human,association;,1,0
Q0A2H0,O75569,ns1_i59a0,prkra_human,NS,PRKRA,strain a/chicken/scotland/1959 h5n1,human,physical association;,1,1
Q2MG95,Q8IXI2,q2mg95_ebvb9,miro1_human,BVLF1,RHOT1,ebvb9,human,association;,1,0
Q9Y5V3,P06827,magd1_human,ncap_i72a2,MAGED1,NP,human,i72a2,physical association;,1,0
P03118,Q07955,ve2_hpv1,srsf1_human,E2,SRSF1,hpv1a,human,physical association;,1,0
P04487,P20671,rnb_hhv11,h2a1d_human,US11,H2AC7,hhv11,human,association;,1,0
Q77M19,Q99653,q77m19_measw,chp1_human,P,CHP1,measw,human,association;,1,0
P03466,Q9NW13,ncap_i34a1,rbm28_human,NP,RBM28,i34a1,human,association;,1,0
Q76RH3,Q96MW5,q76rh3_hhv8,cog8_human,ORF38,COG8,hhv8,human,association;,1,0
P04608,Q9UQ35,tat_hv1h2,srrm2_human,tat,SRRM2,hv1h2,human,association;,2,1
P13285,Q96J02,lmp2_ebvb9,itch_human,LMP2,ITCH,ebvb9,human,association;direct interaction;,3,0
P03496,P61978,ns1_i34a1,hnrpk_human,NS,HNRNPK,i34a1,human,association;,2,0
P21605,Q08211,e3_vaccw,dhx9_human,p25,DHX9,vaccw,human,association;,1,0
P04296,Q15393,dnbi_hhv11,sf3b3_human,DBP,SF3B3,hhv11,human,association;,1,1
P06461,Q96HH9,P06461,grm2b_human,P06461,GRAMD2B,hpv6b,human,association;,1,0
Q05322,P04844,vp24_ebozm,rpn2_human,VP24,RPN2,ebozm,human,association;,2,1
Q9WMX2,P07437,Q9WMX2,tbb5_human,Q9WMX2,TUBB,hcvco,human,association;,1,1
P03182,Q53EP0,ear_ebvb9,fnd3b_human,ear_ebvb9,FNDC3B,ebvb9,human,association;,1,0
P0DTC4,Q9ULX6,vemp_sars2,akp8l_human,E,AKAP8L,SARS-CoV-2,human,association;,1,0
Q99IB8,Q13576,Q99IB8,iqga2_human,Q99IB8,IQGAP2,hcvjf,human,physical association;,1,0
Q99AU3,Q00839,ns1_i18a0,hnrpu_human,NS,HNRNPU,i18a0,human,association;,1,0
Q6DPW5,O00410,q6dpw5_9infa,ipo5_human,M,IPO5,influenza a virus (a/viet nam/1203/2004(h5n1)),human,association;,1,0
Q20MH4,Q9Y6X2,q20mh4_i33a0,pias3_human,NS2,PIAS3,i33a0,human,physical association;,1,0
P06422,Q96T23,ve2_hpv08,rsf1_human,E2,RSF1,hpv08,human,physical association;,1,1
Q77M19,P53007,q77m19_measw,txtp_human,P,SLC25A1,measw,human,association;,3,0
P05919,P40939,vpu_hv1h2,echa_human,vpu,HADHA,hv1h2,human,association;,4,0
Q5EP37,Q9NWB1,q5ep37_9infa,rfox1_human,PB1,RBFOX1,influenza a virus (a/viet nam/1203/2004(h5n1)),human,association;,1,0
P0DOE9,P39023,ns1_hrsva,rl3_human,1C,RPL3,hrsva,human,association;,1,0
P06927,Q9NZJ7,ve5_hpv16,mtch1_human,E5,MTCH1,hpv16,human,association;,1,1
P12792,Q71U36,nss_sfsv,tba1a_human,NSS,TUBA1A,sfsv,human,association;,1,0
Q2MG95,O14818,q2mg95_ebvb9,psa7_human,BVLF1,PSMA7,ebvb9,human,association;,1,0
O40939,Q12873,O40939,chd3_human,O40939,CHD3,hhv8,human,association;,1,0
P03118,Q9Y244,ve2_hpv1,pomp_human,E2,POMP,hpv1a,human,physical association;,1,0
P0CK58,Q9UQ35,balf1_ebvb9,srrm2_human,balf1_ebvb9,SRRM2,ebvb9,human,association;,1,0
P03427,Q86VD7,pb2_i33a0,s2542_human,PB2,SLC25A42,i33a0,human,association;,1,0
Q2MG95,Q9Y5M8,q2mg95_ebvb9,srprb_human,BVLF1,SRPRB,ebvb9,human,association;,1,0
Q2MG95,Q9NR12,q2mg95_ebvb9,pdli7_human,BVLF1,PDLIM7,ebvb9,human,association;,1,0
P0C739,Q99500,bnl2a_ebvb9,s1pr3_human,bnl2a_ebvb9,S1PR3,ebvb9,human,association;,1,0
P35568,P03070,irs1_human,P03070,IRS1,P03070,human,sv40,physical association;,2,0
P06429,P49721,ve7_hpv33,psb2_human,E7,PSMB2,hpv33,human,physical association;,1,1
Q8AZK7,Q9BQA1,ebna5_ebvb9,mep50_human,EBNA-LP,WDR77,ebvb9,human,association;,1,1
P29991,Q7Z406,P29991,myh14_human,P29991,MYH14,den27,human,physical association;,1,0
F5HC81,Q99536,f5hc81_hhv8,vat1_human,ORF72,VAT1,hhv8,human,association;,1,0
P06821,Q6NXE6,m2_i34a1,armc6_human,M,ARMC6,i34a1,human,association;,1,0
F5HE15,O15131,f5he15_hhv8,ima6_human,ORF17.5,KPNA5,hhv8,human,association;,1,0
P69901,P11166,P69901,gtr1_human,P69901,SLC2A1,hpv11,human,association;,1,0
P03410,P35711,tax_htlv2,sox5_human,tax,SOX5,htlv-2,human,physical association;,3,3
P0CK58,O15260,balf1_ebvb9,surf4_human,balf1_ebvb9,SURF4,ebvb9,human,association;,1,0
Q1K9H5,O95071,q1k9h5_i33a0,ubr5_human,PB1,UBR5,i33a0,human,association;,4,0
Q2PJP1,Q96MW5,q2pjp1_9infa,cog8_human,NS2,COG8,h5n1)-1,human,physical association;,1,0
P06821,Q9UBB4,m2_i34a1,atx10_human,M,ATXN10,i34a1,human,association;,2,0
P68451,Q13794,f1_vaccp,apr_human,f1_vaccp,PMAIP1,vaccp,human,physical association;,1,0
C5E527,Q9BT25,c5e527_9infa,haus8_human,PB2,HAUS8,A/New York/1682/2009(H1N1),human,association;,2,0
Q20MH8,Q6NUQ1,q20mh8_i33a0,rint1_human,M2,RINT1,i33a0,human,association;,2,0
Q9WMX2,P52294,Q9WMX2,ima5_human,Q9WMX2,KPNA1,hcvco,human,physical association;,2,2
P69901,O96005,P69901,clpt1_human,P69901,CLPTM1,hpv11,human,association;,1,0
P04296,O60506,dnbi_hhv11,hnrpq_human,DBP,SYNCRIP,hhv11,human,association;,1,1
P04296,Q9Y5B9,dnbi_hhv11,sp16h_human,DBP,SUPT16H,hhv11,human,association;,1,1
P03070,Q6PEY2,P03070,tba3e_human,P03070,TUBA3E,sv40,human,physical association;,1,1
P03428,O15027,pb2_i34a1,sc16a_human,PB2,SEC16A,i34a1,human,association;,4,0
P03177,Q9Y6C9,kith_ebvb9,mtch2_human,TK,MTCH2,ebvb9,human,association;,1,0
C5E526,Q92499,c5e526_9infa,ddx1_human,PB1,DDX1,A/New York/1682/2009(H1N1),human,association;,1,0
P06430,Q5T4S7,ve7_hpv08,ubr4_human,E7,UBR4,hpv08,human,association;,1,1
P03410,Q8WW24,tax_htlv2,tekt4_human,tax,TEKT4,htlv-2,human,physical association;,2,2
Q77M19,P10599,q77m19_measw,thio_human,P,TXN,measw,human,association;,1,0
P03182,Q9H8M9,ear_ebvb9,eva1a_human,ear_ebvb9,EVA1A,ebvb9,human,association;,1,0
Q12805,P0C722,fbln3_human,brrf1_ebvg,EFEMP1,brrf1_ebvg,human,ebvg,physical association;,1,0
Q77M19,Q4V339,q77m19_measw,cbwd6_human,P,CBWD6,measw,human,association;,1,0
P06460,Q96G23,P06460,cers2_human,P06460,CERS2,hpv6b,human,association;,1,0
Q6QDQ4,Q08170,q6qdq4_prrsv,srsf4_human,N,SRSF4,prrsv,human,association;,1,0
P03428,Q8NEY8,pb2_i34a1,pphln_human,PB2,PPHLN1,i34a1,human,association;,1,0
P0C6I1,P58753,p0c6i1-pro_0000324727,tirap_human,C,TIRAP,hbvd5,human,colocalization;physical association;,2,0
P30119,P46379,btrf1_ebvb9,bag6_human,btrf1_ebvb9,BAG6,ebvb9,human,association;,1,0
P06792,Q7Z7N9,ve5_hpv18,t179b_human,E5,TMEM179B,hpv18,human,association;,1,1
Q96AT1,P03496,k1143_human,ns1_i34a1,KIAA1143,NS,human,i34a1,physical association;,1,0
Q20MH8,Q9BRK5,q20mh8_i33a0,cab45_human,M2,SDF4,i33a0,human,association;,2,0
P0DTD1,P82663,p0dtd1-pro_0000449626,rt25_human,rep,MRPS25,SARS-CoV-2,human,association;,1,0
P0DTD1,P49368,p0dtd1-pro_0000449630,tcpg_human,rep,CCT3,SARS-CoV-2,human,association;,2,0
P03208,Q9NSC5,bilf1_ebvb9,home3_human,bilf1_ebvb9,HOMER3,ebvb9,human,physical association;,1,2
I6T1Z2,Q8IWZ3,i6t1z2_i68a0,ankh1_human,NS1,ANKHD1,i68a0,human,association;,1,0
H9XIJ5,Q8IXJ9,h9xij5_i75a3,asxl1_human,PB2,ASXL1,i75a3,human,physical association;,1,0
P69901,Q8TAT6,P69901,npl4_human,P69901,NPLOC4,hpv11,human,association;,1,0
Q05322,P10606,vp24_ebozm,cox5b_human,VP24,COX5B,ebozm,human,association;,2,0
Q04360,P63279,icp27_ebvb9,ubc9_human,Protein SM,UBE2I,ebvb9,human,physical association;,1,0
P0DOE9,P62258,ns1_hrsva,1433e_human,1C,YWHAE,hrsva,human,association;,1,0
P03129,Q15370,ve7_hpv16,elob_human,E7,ELOB,hpv16,human,association;,1,0
A6NI86,P29991,gg6la_human,P29991,GOLGA6L10,P29991,human,den27,physical association;,1,0
A0A142I5B9,A0A024R2Z6,A0A142I5B9,a0a024r2z6_human,A0A142I5B9,GNL3,ZIKVK,human,association;,1,0
P0C1C7,Q93077,w_nipav,h2a1c_human,P/V/C,H2AC6,nipav,human,association;,1,0
A0A142I5B9,O75352,A0A142I5B9,mpu1_human,A0A142I5B9,MPDU1,ZIKVK,human,association;,1,0
C5E526,Q92542,c5e526_9infa,nica_human,PB1,NCSTN,A/New York/1682/2009(H1N1),human,association;,1,0
P0DTC4,O60885,vemp_sars2,brd4_human,E,BRD4,SARS-CoV-2,human,association;,1,0
P0DTD1,Q13523,p0dtd1-pro_0000449632,prp4b_human,rep,PRPF4B,SARS-CoV-2,human,association;,2,0
P29882,Q8TD10,cep1_ebvb9,mipo1_human,cep1_ebvb9,MIPOL1,ebvb9,human,physical association;,1,0
Q05127,P05388,vp35_ebozm,rla0_human,VP35,RPLP0,ebozm,human,association;,1,0
Q8TCT4,P03107,q8tct4_human,vl2_hpv16,PMSP,L2,human,hpv16,direct interaction;,1,0
O95639,C5E524,cpsf4_human,c5e524_9infa,CPSF4,NS1,human,A/New York/1682/2009(H1N1),physical association;,1,0
